Enhancer_ID	Gene_geneID	EnhancerDistance	PROseq_Classification	ATACseq_Classification	UNIPROTname	geneFunc	geneName	geneFuncFullText
Region3589	FBgn0014388	4939	Toll10b Up	Time Up	O44783	Protein sprouty	sty	<ul><li>Inhibitor of tracheal branching that restricts branch budding by antagonizing the BNL-FGF pathway (BNL: branchless, an fgf inducer of branching). Acts as an antagonist of EGFR-mediated signaling in the eye (where it is important for cell determination) midline glia, chordotonal organs, wing and ovarian follicle cells.</ul>
Region3802	FBgn0023001	3953	Toll9 Up	Toll10b Down	Q9VS24	Protein melted	melt	<ul><li>Participates in fat metabolism regulation by recruiting FOXO and the TSC1-TSC2 complex to the cell membrane, which positively regulates TOR activity and negatively regulates the expression of FOXO target genes. Involved in R8 photoreceptor subtype specification. During early embryonic development, may be required for ectodermal patterning.</ul>
Region3878	FBgn0035900	1958	Toll9 Up	Gd7 Up	Q9VSK8	Zinc finger CCCH domain-containing protein 3	ZC3H3	<ul><li>Required for the export of polyadenylated mRNAs from the nucleu; binds to polyadenylated mRNA, and is involved in the regulation of mRNA polyadenylation.</ul>
Region3895	FBgn0001168	4453	Time Down	Time Down	P14003	Protein hairy	h	<ul><li>Pair-rule protein that regulates embryonic segmentation and adult bristle patterning. Transcriptional repressor of genes that require a bHLH protein for their transcription (e.g. ftz).</ul>
Region3903	FBgn0263930	3352	Toll9 Up	Toll9 Up	Q24114	Division abnormally delayed protein	dally	<ul><li>Cell surface proteoglycan that bears heparan sulfate. Required for cell division patterning during post-embryonic development of the nervous system.</ul>
Region3944	FBgn0035965	27639	Time Up	Gd7 Down	Q9VSU7	Vesicle transport protein USE1	Use1	<ul><li>SNARE that may be involved in targeting and fusion of Golgi-derived retrograde transport vesicles with the ER (By similarity). Required for protein secretion.</ul>
Region3956	FBgn0023129	1664	Gd7 Up	Gd7 Up	Q9VSY6	Phosphoserine phosphatase	aay	<ul><li>Catalyzes the last step in the biosynthesis of serine from carbohydrates. The reaction mechanism proceeds via the formation of a phosphoryl-enzyme intermediates (By similarity).</ul>
Region4083	FBgn0041094	5175	Gd7 Up	Toll9 Up	Q9VTH4	Protein scylla	scyl	<ul><li>Inhibits cell growth by regulating the Tor pathway upstream of the Tsc1-Tsc2 complex and downstream of Akt1. Acts as cell death activator during head development.</ul>
Region4284	FBgn0000411	23822	Gd7 Down	Toll9 Up	Q24533	SOX domain-containing protein dichaete	D	<ul><li>Essential for segmentation and CNS development. May modulate the actions of other transcription factors, including gap and pair-rule proteins.</ul>
Region4389	FBgn0029114	2759	Toll9 Up	Toll9 Up	Q9V477	Toll-like receptor Tollo	Tollo	<ul><li>Toll-related receptor (PubMed:10973475). Probably specific to larval innate immunity (PubMed:22022271). Involved in the tracheal immune response of larvae to Gram-negative and perhaps Gram-positive bacteria; upon infection it negatively regulates the immune deficiency (Imd) signaling cascade specifically in the respiratory epithelium to prevent the overexpression of antimicrobial peptides (AMP) (PubMed:22022271). Involved in the NF-kappa-B-dependent apoptosis of unfit cells during cell competition (PubMed:25477468). Involved in neuron-specific glycosylation (PubMed:12588858, PubMed:17264077). Positively controls the neuromuscular junction (NMJ) growth in presynaptic motorneurons, probably via the JNK pathway (PubMed:24662564). During development of the peripheral nervous system, may function in the NF-kappa-B (rel) regulatory cascade to repress expression of the neuron-specific genes sc and ase in non-neuronal cells (PubMed:18000549). Promotes heterophilic cell adhesion with 18w in vitro (PubMed:25363762). May have a minor role in leg development (PubMed:21158756). May be involved in determining the proximal cell fate in the wing, possibly by negatively regulating the Dpp signaling pathway.(PubMed:17078066). May also be involved in the Dpp signaling pathway in the eye (PubMed:17078066). Possibly functions with 18w and Toll-6 during convergent extension, to help direct proper planar cell polarity, cell intercalation and axis elongation (PubMed:25363762).</ul>
Region4428	FBgn0010105	10074	Time Up	Time Down	Q24139	Protein commissureless 1	comm	<ul><li>Controls axon guidance across the CNS midline by preventing the delivery of Robo to the growth cone.</ul>
Region4458	FBgn0263601	4704	Gd7 Down	Toll9 Up	Q9VUX2	E3 ubiquitin-protein ligase mind-bomb	mib1	<ul><li>E3 ubiquitin-protein ligase that mediates ubiquitination of Delta (Dl) and Serrate (Ser) receptors, which act as ligands of Notch proteins. Positively regulates the Notch signaling by ubiquitinating the intracellular domain of Dl and Ser, leading to endocytosis of Dl and Ser receptors. Regulates a subset of Notch signaling events, including wing margin specification, leg segmentation and vein determination, that are distinct from those events requiring neuralize (neur) activity. Also modulates lateral inhibition, a neur- and Dl-dependent signaling event, suggesting a distinct but partially complementary function with neur.</ul>
Region4466	FBgn0260635	3368	Toll9 Up	Time Up	Q24306	Death-associated inhibitor of apoptosis 1	Diap1	<ul><li>Anti-apoptotic protein which functions as a caspase regulator, using its E3 ubiquitin-protein ligase activity to smother caspase activity. Binds, ubiquitinates and inactivates initiator caspase Dronc, and effector caspases Drice and Dcp-1. Acts as a Nedd8-E3 ubiquitin-protein ligase for Drice. Suppresses apoptosis by targeting the apoptosome for ubiquitination and inactivation. Plays an important role in cell motility. Overexpression suppresses rpr and hid-dependent cell death in the eye. Interaction of Diap1 with Dronc is required to suppress Dronc-mediated cell death through Diap1-mediated ubiquitination of Dronc. Acts as a positive regulator of Wnt signaling.</ul>
Region4467	FBgn0260635	5110	Toll9 Up	Toll10b Up	Q24306	Death-associated inhibitor of apoptosis 1	Diap1	<ul><li>Anti-apoptotic protein which functions as a caspase regulator, using its E3 ubiquitin-protein ligase activity to smother caspase activity. Binds, ubiquitinates and inactivates initiator caspase Dronc, and effector caspases Drice and Dcp-1. Acts as a Nedd8-E3 ubiquitin-protein ligase for Drice. Suppresses apoptosis by targeting the apoptosome for ubiquitination and inactivation. Plays an important role in cell motility. Overexpression suppresses rpr and hid-dependent cell death in the eye. Interaction of Diap1 with Dronc is required to suppress Dronc-mediated cell death through Diap1-mediated ubiquitination of Dronc. Acts as a positive regulator of Wnt signaling.</ul>
Region4563	FBgn0266669	5252	Time Up	Toll10b Down	Q9VVG4	Exocyst complex component 1	Sec3	<ul><li>Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.</ul>
Region4685	FBgn0016797	18829	Gd7 Down	Toll9 Up	Q9VVX3	Frizzled-2	fz2	<ul><li>Receptor for Wnt proteins. Most of frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Required to coordinate the cytoskeletons of epidermal cells to produce a parallel array of cuticular hairs and bristles.</ul>
Region4686	FBgn0016797	21174	Gd7 Down	Toll10b Down	Q9VVX3	Frizzled-2	fz2	<ul><li>Receptor for Wnt proteins. Most of frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Required to coordinate the cytoskeletons of epidermal cells to produce a parallel array of cuticular hairs and bristles.</ul>
Region4706	FBgn0005564	5121	Toll10b Down	Toll10b Down	P17971	Potassium voltage-gated channel protein Shal	Shal	<ul><li>Mediates the voltage-dependent potassium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a potassium-selective channel through which potassium ions may pass in accordance with their electrochemical gradient. May play a role in the nervous system and in the regulation of beating frequency in pacemaker cells.</ul>
Region4707	FBgn0005564	3622	Toll10b Down	Toll10b Down	P17971	Potassium voltage-gated channel protein Shal	Shal	<ul><li>Mediates the voltage-dependent potassium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a potassium-selective channel through which potassium ions may pass in accordance with their electrochemical gradient. May play a role in the nervous system and in the regulation of beating frequency in pacemaker cells.</ul>
Region4765	FBgn0028978	4049	Time Down	Toll9 Up	Q9V3Z1	Tribbles	trbl	<ul><li>Adapter protein that negatively regulates different signaling pathways to coordinate cell differentiation, proliferation, migration and growth (PubMed:10837248, PubMed:10850493, PubMed:10850494, PubMed:10949024, PubMed:23305818, PubMed:25329475). Functions by binding to key regulatory proteins and either blocks their activity or regulates their turnover by the proteasome (PubMed:10837248, PubMed:10850493, PubMed:10850494, PubMed:10949024, PubMed:23305818, PubMed:25329475). In various developing tissues functions as a cell cycle regulator that mediates cell proliferation according to the requirements of the developmental program (PubMed:10850493, PubMed:10850494, PubMed:10837248, PubMed:15581871). Acts by inducing the proteasomal degradation of the CD25 mitotic activators stg and twe at critical stages of development to delay entry into mitosis and thus mediate cell proliferation (PubMed:10850493, PubMed:10850494, PubMed:10837248, PubMed:15581871, PubMed:23290551, PubMed:29025897). During gastrulation, negatively regulates stg to delay mitosis in the ventral region of the embryonic mesoderm thus allowing invagination to be completed before cell division takes place (PubMed:10837248, PubMed:10850493, PubMed:10850494). Delaying stg-dependent mitosis during bristle development and in migrating germline pole cells also arrests their cell divisions, whereas in cystocytes it promotes their cell divisions (PubMed:10837248, PubMed:10850493, PubMed:15581871). Involved in the regulation of the mid-blastula transition; promotes the destruction of twe resulting in the cell cycle arrest in G2 of cycle 14 which delays mitosis and thus reduces cell proliferation allowing cell fate specification and morphogenesis to take place (PubMed:23290551). In germline cells, blocks border cell migration during oogenesis by binding to slbo/C/EBP and promoting its ubiquitination and degradation by the proteasome (PubMed:23305818, PubMed:10949024, PubMed:29025897). May function in a negative feedback loop with slbo to coordinate proper border cell migration (PubMed:23305818). During tissue growth negatively regulates insulin signaling by binding to Akt1 and blocking its phosphorylation-dependent activation (PubMed:25329475, PubMed:29025897). However it may also function downstream in the insulin signaling pathway, acting with Akt1 to direct foxo degradation (PubMed:25329475). Essential for the proper formation of operant place and aversive olfactory memories (PubMed:18430923, PubMed:28669782).</ul>
Region4904	FBgn0037153	20249	Toll9 Up	Toll10b Down	Q6NP60	MOXD1 homolog 2	olf413	<ul><li></ul>
Region4983	FBgn0040020	2281	Toll9 Up	Gd7 Up	Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	MED21	<ul><li>Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Required for activated transcription of the MtnA, MtnB and MtnD genes.</ul>
Region5068	FBgn0010247	1422770	Time Up	Gd7 Down	P35875	Poly [ADP-ribose] polymerase	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5071	FBgn0010247	1407850	Time Up	Gd7 Down	P35875	Poly [ADP-ribose] polymerase	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5073	FBgn0010247	1391553	Time Up	Gd7 Down	P35875	Poly [ADP-ribose] polymerase	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5155	FBgn0037265	4899	Time Down	Toll10b Down	Q9VN45	Protein spartin	spartin	<ul><li>During postembryonic development, functions with endocytic adapter Eps-15 in neurons to restrain synaptic growth, by inhibiting BMP signaling, and to control synaptic endocytosis. Required presynaptically for neuromuscular junction (NMJ) neurotransmission. Inhibits neuronal BMP signaling by promoting endocytic internalization and subsequent endosomal trafficking of the BMP receptor wit. In this way, regulates the Fmr1 translational regulator controlling Futsch expression to modulate neuronal microtubule stability, which controls both synaptogenesis and neuronal survival.</ul>
Region5201	FBgn0004436	41389	Time Up	Toll9 Up	P25153	Ubiquitin-conjugating enzyme E2-17 kDa	Ubc6	<ul><li>Catalyzes the covalent attachment of ubiquitin to other proteins. Required for postreplication repair of UV-damaged DNA (PubMed:1902572). Involved in the negative regulation of the Ras/MAPK signaling pathway in the wing by acting with the putative E3 ligases poe, Kcmf1 and Ufd4 to mediate the ubiquitination and proteasomal degradation of rl/MAPK (PubMed:27552662).</ul>
Region5205	FBgn0010313	58178	Toll10b Down	Time Up	P41046	Centrosomal and chromosomal factor	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5209	FBgn0010313	44765	Toll10b Down	Toll10b Down	P41046	Centrosomal and chromosomal factor	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5210	FBgn0010313	40508	Toll10b Down	Gd7 Up	P41046	Centrosomal and chromosomal factor	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5211	FBgn0010313	30189	Toll10b Down	Toll9 Down	P41046	Centrosomal and chromosomal factor	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5212	FBgn0010313	27482	Toll10b Down	Time Down	P41046	Centrosomal and chromosomal factor	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5213	FBgn0010313	23353	Toll10b Down	Gd7 Down	P41046	Centrosomal and chromosomal factor	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5220	FBgn0010313	3358	Toll10b Down	Toll10b Down	P41046	Centrosomal and chromosomal factor	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5349	FBgn0000439	7853	Toll9 Down	Gd7 Down	P07548	Homeotic protein deformed	Dfd	<ul><li>Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis. Homeotic protein controlling Drosophila head development. Transcriptional activator of the apoptotic activator protein rpr in cells at the maxillary/mandibular boundary.</ul>
Region5350	FBgn0000439	10411	Toll9 Down	Time Down	P07548	Homeotic protein deformed	Dfd	<ul><li>Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis. Homeotic protein controlling Drosophila head development. Transcriptional activator of the apoptotic activator protein rpr in cells at the maxillary/mandibular boundary.</ul>
Region5406	FBgn0003884	1653	Gd7 Down	Toll9 Up	P06603	Tubulin alpha-1 chain	alphaTub84B	<ul><li>Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.</ul>
Region5406	FBgn0003884	1653	Gd7 Down	Toll9 Up	P06603	Tubulin alpha-1 chain	alphaTub84B	<ul><li>Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.</ul>
Region5515	FBgn0001180	3160	Time Down	Time Up	P05084	Protein hunchback	hb	<ul><li>Gap class segmentation protein that controls development of head structures.</ul>
Region5606	FBgn0037719	13457	Time Down	Toll10b Down	Q709R6	LEM domain-containing protein Bocksbeutel	bocks	<ul><li>Inner nuclear membrane protein (PubMed:15035436, PubMed:24700158). May have a role in maintaining the structural integrity of the nuclear lamina (PubMed:24700158). During pupal development, plays essential and redundant functions with the other LEM domain proteins; MAN1 and Ote (PubMed:24700158). Also has a redundant but important role with Ote in larval development (PubMed:24700158).</ul>
Region5692	FBgn0001235	13236	Toll9 Up	Toll9 Up	O46339	Homeobox protein homothorax	hth	<ul><li>All isoforms are required for patterning of the embryonic cuticle. Acts with exd to delimit the eye field and prevent inappropriate eye development. Isoforms that carry the homeodomain are required for proper localization of chordotonal organs within the peripheral nervous system and antennal identity; required to activate antennal-specific genes, such as sal and to repress the leg-like expression of dac. Necessary for the nuclear localization of the essential HOX cofactor, extradenticle (exd). Both necessary and sufficient for inner photoreceptors to adopt the polarization-sensitive 'dorsal rim area' (DRA) of the eye fate instead of the color-sensitive default state. This occurs by increasing rhabdomere size and uncoupling R7-R8 communication to allow both cells to express the same opsin rather than different ones as required for color vision.</ul>
Region5854	FBgn0020496	2587	Time Up	Toll10b Down	O46036	C-terminal-binding protein	CtBP	<ul><li>Corepressor targeting diverse transcription regulators. Hairy-interacting protein required for embryonic segmentation and hairy-mediated transcriptional repression.</ul>
Region5890	FBgn0040077	4132	Time Down	Toll9 Up	P82890	Low molecular weight phosphotyrosine protein phosphatase 1	primo-1	<ul><li>Acts on tyrosine phosphorylated proteins, low-MW aryl phosphates and natural and synthetic acyl phosphates.</ul>
Region6184	FBgn0000014	20465	Toll9 Up	Toll9 Up	P29555	Homeobox protein abdominal-A	abd-A	<ul><li>Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis. Required for segmental identity of the second through eighth abdominal segments. Once a pattern of abd-A expression is turned on in a given parasegment, it remains on the more posterior parasegment, so that the complex pattern of expression is built up in the successive parasegments. Appears to repress expression of Ubx whenever they appear in the same cell, but abd-A is repressed by Abd-B only in the eight and ninth abdominal segments.</ul>
Region6190	FBgn0000014	36700	Toll9 Up	Time Down	P29555	Homeobox protein abdominal-A	abd-A	<ul><li>Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis. Required for segmental identity of the second through eighth abdominal segments. Once a pattern of abd-A expression is turned on in a given parasegment, it remains on the more posterior parasegment, so that the complex pattern of expression is built up in the successive parasegments. Appears to repress expression of Ubx whenever they appear in the same cell, but abd-A is repressed by Abd-B only in the eight and ninth abdominal segments.</ul>
Region6195	FBgn0000015	36569	Time Up	Time Down	P09087	Homeobox protein abdominal-B	Abd-B	<ul><li>Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis.</ul>
Region6353	FBgn0010768	1579	Time Up	Time Up	Q9VDZ3	Zinc finger protein squeeze	sqz	<ul><li>Transcription factor involved in neuronal fate specification. First required in embryonic CNS development to define the number of cells that express apterous (ap) in the ap thoracic cluster of interneurons. Later on, it plays a central role in the combinatorial code of transcription factors that specifies the fate of the Tv neuron in the ap cluster by participating in the transcription regulation of FMRFa in Tv cells. Also required for projection neuron dendritic targeting.</ul>
Region6370	FBgn0000463	6051	Toll9 Up	Toll9 Down	P10041	Neurogenic locus protein delta	Dl	<ul><li>Acts as a ligand for Notch (N) receptor. Essential for proper differentiation of ectoderm. Dl is required for the correct separation of neural and epidermal cell lineages. Fringe (fng) acts in the Golgi to determine the type of O-linked fucose on the EGF modules in N, altering the ability of N to bind with Delta (Dl). O-fut1 also has a role in modulating the interaction.</ul>
Region6373	FBgn0000463	15062	Toll9 Up	Toll9 Up	P10041	Neurogenic locus protein delta	Dl	<ul><li>Acts as a ligand for Notch (N) receptor. Essential for proper differentiation of ectoderm. Dl is required for the correct separation of neural and epidermal cell lineages. Fringe (fng) acts in the Golgi to determine the type of O-linked fucose on the EGF modules in N, altering the ability of N to bind with Delta (Dl). O-fut1 also has a role in modulating the interaction.</ul>
Region6378	FBgn0000463	20600	Toll9 Up	Toll9 Down	P10041	Neurogenic locus protein delta	Dl	<ul><li>Acts as a ligand for Notch (N) receptor. Essential for proper differentiation of ectoderm. Dl is required for the correct separation of neural and epidermal cell lineages. Fringe (fng) acts in the Golgi to determine the type of O-linked fucose on the EGF modules in N, altering the ability of N to bind with Delta (Dl). O-fut1 also has a role in modulating the interaction.</ul>
Region6379	FBgn0086613	18222	Time Down	Toll9 Up	Q9VDY1	Chromatin-remodeling ATPase INO80	Ino80	<ul><li>ATPase component of the chromatin remodeling INO80 complex which is involved in transcriptional regulation, DNA replication and DNA repair. Binds DNA. As part of the INO80 complex, remodels chromatin by shifting nucleosomes.</ul>
Region6545	FBgn0011766	12811	Gd7 Down	Gd7 Up	Q27368	Transcription factor E2f1	E2f1	<ul><li>Transcriptional activator that binds to E2f sites. Required for wild-type growth in mitotic and polytene tissues, Contributes to the expression of replication genes at the G1-S transition and Cyclin E. Activates cell proliferation in wing imaginal disk, which requires expression of vg.</ul>
Region6547	FBgn0011766	14602	Gd7 Down	Toll10b Down	Q27368	Transcription factor E2f1	E2f1	<ul><li>Transcriptional activator that binds to E2f sites. Required for wild-type growth in mitotic and polytene tissues, Contributes to the expression of replication genes at the G1-S transition and Cyclin E. Activates cell proliferation in wing imaginal disk, which requires expression of vg.</ul>
Region6860	FBgn0002633	1658	Gd7 Down	Time Up	P13097	Enhancer of split m7 protein	E(spl)m7-HLH	<ul><li>Participates in the control of cell fate choice by uncommitted neuroectodermal cells in the embryo. Transcriptional repressor. Binds DNA on N-box motifs: 5'-CACNAG-3'.</ul>
Region6992	FBgn0029176	4200	Toll9 Down	Toll10b Down	Q9NJH0	Elongation factor 1-gamma	eEF1gamma	<ul><li>Probably plays a role in anchoring the complex to other cellular components.</ul>
Region7211	FBgn0085432	1774	Time Down	Time Down	P91943	Protein pangolin, isoforms A/H/I/S	pan	<ul><li>Segment polarity protein. Functions together with arm to transduce the Wingless (Wg) signal in embryos and in developing adult tissues. Acts as a transcriptional activator, but in the absence of arm, it binds to gro and acts as a transcriptional repressor of wg-responsive genes.</ul>
Region7211	FBgn0085432	1774	Time Down	Time Down	Q8IMA8	Protein pangolin, isoform J	pan	<ul><li>Segment polarity protein. Functions together with arm to transduce the Wingless (Wg) signal in embryos and in developing adult tissues. Acts as a transcriptional activator, but in the absence of arm, it binds to gro and acts as a transcriptional repressor of wg-responsive genes.</ul>
Region7253	FBgn0052016	2120	Time Up	Toll10b Up	Q8IH18	Eukaryotic translation initiation factor 4E transporter	4E-T	<ul><li>eIF4E1-binding protein that regulates translation and stability of mRNAs in processing bodies (P-bodies) (By similarity). Probably plays a role in P-bodies to coordinate the storage of translationally inactive mRNAs in the cytoplasm and prevent their degradation (By similarity). Acts as a binding platform for multiple RNA-binding proteins. Required for the formation of P-bodies (By similarity).</ul>
Region7834	FBgn0003285	24310	Toll9 Down	Time Up	Q08180	Irregular chiasm C-roughest protein	rst	<ul><li>Required for correct axonal pathway formation in the optic lobe and for programmed cell death in the developing retina.</ul>
Region8053	FBgn0000042	1673	Gd7 Down	Time Up	P10987	Actin-5C	Act5C	<ul><li>Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells.<li>Multiple isoforms are involved in various cellular functions such as cytoskeleton structure, cell mobility, chromosome movement and muscle contraction.</ul>
Region8053	FBgn0000042	1673	Gd7 Down	Time Up	P10987	Actin-5C	Act5C	<ul><li>Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells.<li>Multiple isoforms are involved in various cellular functions such as cytoskeleton structure, cell mobility, chromosome movement and muscle contraction.</ul>
Region8155	FBgn0004646	4018	Toll9 Up	Time Up	P27716	Innexin inx1	ogre	<ul><li>Structural component of the gap junctions. Essential for generation and/or maintenance of postembryonic neuroblasts and normal development of optic lobe.</ul>
Region8189	FBgn0025549	2751	Toll9 Up	Gd7 Down	Q9XYQ2	Protein unc-119 homolog	unc-119	<ul><li>Myristoyl-binding protein that acts as a cargo adapter: specifically binds the myristoyl moiety of a subset of N-terminally myristoylated proteins and is required for their localization.</ul>
Region8476	FBgn0003321	8020	Toll9 Up	Toll10b Up	Q9U1H9	Nuclear RNA export factor 1	sbr	<ul><li>Mediates the export of the majority of mRNAs from the nucleus to the cytoplasm.</ul>
Region8723	FBgn0020909	1714	Toll9 Down	Time Up	P56175	Probable RNA 3'-terminal phosphate cyclase-like protein	Rtc1	<ul><li>Does not have cyclase activity. Plays a role in 40S-ribosomal-subunit biogenesis in the early pre-rRNA processing steps at sites A0, A1 and A2 that are required for proper maturation of the 18S RNA (By similarity).</ul>
Region9233	FBgn0027334	12744	Toll10b Up	Gd7 Down	Q9VR89	RNA-binding protein pno1	l(1)G0004	<ul><li></ul>
Region9321	FBgn0000719	7235	Toll9 Down	Toll10b Down	P40795	Protein folded gastrulation	fog	<ul><li>Coordinates cell shape changes during formation of the ventral furrow and invagination of the posterior midgut primordium, by inducing apical constriction of cells in spatially and temporally defined manners. Could function as a secreted signal to initiate apical constriction by acting as a ligand for an unidentified G protein-coupled receptor, which in turn activates the G protein alpha subunit encoded by concertina, in neighboring cells. Such an intracellular pathway would ultimately induce contraction of the apical actin-myosin network. In the ventral furrow, fog appears to ensure that all the cells initiate constriction within several minutes of each other. In the posterior midgut invagination, fog appears to direct the ordered progression of constriction initiations out from a central region and also to delimit the peripheral extent of this spreading.</ul>
