EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification	name	geneFunc	score	geneName	geneFuncFullText
Region1608	chr2L	21868722	21869523	FBgn0003866	chr2L	21829806	21836179	32542	Time Up	Toll10b Down	P22265	Protein teashirt	1000	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1610	chr2L	21876836	21877617	FBgn0003866	chr2L	21829806	21836179	40656	Time Up	Time Down	P22265	Protein teashirt	1000	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1696	chr2R	4309701	4310039	FBgn0260798	chr2R	4322536	4470882	12496	Toll9 Up	Time Down	P32865	G protein-coupled receptor kinase 1	1000	Gprk1	<ul><li>Specifically phosphorylates the activated forms of G protein-coupled receptors.</ul>
Region1697	chr2R	4544490	4545053	FBgn0046692	chr2R	4546748	4564498	1694	Toll10b Down	Toll9 Up	P83098	Putative serine/threonine-protein kinase STE20-like	1000	Stlk	<ul><li></ul>
Region1701	chr2R	4730128	4730587	FBgn0026401	chr2R	4691861	4728499	1628	Toll9 Up	Toll9 Up	Q7PLI2	Nipped-B protein	1000	Nipped-B	<ul><li>Plays a structural role in chromatin. Involved in sister chromatid cohesion, probably via an interaction with the cohesin complex. Participates in the transcriptional activation mediated by remote enhancers on genes such as cut and Ubx, possibly by alleviating the cohesin-mediated blocking of enhancer-promoter communication.</ul>
Region1703	chr2R	4824187	4824532	FBgn0261387	chr2R	4817452	4819935	4251	Toll9 Up	Time Up	Q7PLI7	Serine/threonine-protein kinase CG17528	1000		<ul><li></ul>
Region1744	chr2R	6195578	6196912	FBgn0033069	chr2R	6200917	6201830	4004	Toll10b Down	Toll10b Down	A1Z6K7	Eukaryotic translation initiation factor 3 subunit F-2	1000	eIF3f2	<ul><li>Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation.</ul>
Region1748	chr2R	6220912	6221691	FBgn0033074	chr2R	6225725	6226744	4033	Time Down	Toll9 Up	A1Z6L1	Mitochondrial import receptor subunit TOM40 homolog 2	1000	tomboy40	<ul><li>Channel-forming protein essential for import of protein precursors into mitochondria.</ul>
Region1757	chr2R	6459774	6460140	FBgn0086655	chr2R	6503039	6619250	42898	Toll9 Up	Toll9 Up	Q7KHG2	Zinc finger protein jing	1000	jing	<ul><li>May functionally interact with Polycomb group (PcG) and trithorax group (trxG) proteins to repress transcription (Probable). Required for Egfr pathway function and MAPK activity in CNS midline and tracheal placodes and for CNS axon development and tracheal tubule development. Required to establish the primary axon scaffold in the brain and for lateral positioning of longitudinal glia, longitudinal axons and neurons. Required for glial survival. Required to establish the proximo-distal axis of the developing leg and for wing vein and alula development. Required for regenerative growth in leg imaginal disks. Required for the initiation of anterior migration of border cells of the ovary.</ul>
Region1926	chr2R	8642970	8643969	FBgn0003892	chr2R	8650422	8664333	6452	Time Down	Toll10b Down	P18502	Protein patched	1000	ptc	<ul><li>Segmentation polarity protein. Acts as a receptor for the hedgehog protein (HH). Associates with the smoothened protein (SMO) to transduce the hedgehog signal leading to the activation of wingless, decapentaplegic and patched itself. Participates in cell interactions that establish pattern within the segment and the imaginal disks during development. In the absence of HH, represses the constitutive signaling activity of smo through fused (FU).</ul>
Region1968	chr2R	9095010	9095515	FBgn0033375	chr2R	9097314	9098450	1798	Toll9 Down	Time Up	Q7JWW5	Cytoplasmic tRNA 2-thiolation protein 1	1000		<ul><li>Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Directly binds tRNAs and probably acts by catalyzing adenylation of tRNAs, an intermediate required for 2-thiolation. It is unclear whether it acts as a sulfurtransferase that transfers sulfur from thiocarboxylated URM1 onto the uridine of tRNAs at wobble position.</ul>
Region2036	chr2R	9929474	9930178	FBgn0011656	chr2R	9916458	9921663	7810	Toll10b Up	Toll10b Up	P40791	Myocyte-specific enhancer factor 2	1000	Mef2	<ul><li>Transcription factor that could be a key player in early mesoderm differentiation and may be required for subsequent cell fate specifications within the somatic and visceral/heart mesodermal layers (PubMed:7839146, PubMed:8052612, PubMed:8202544). Essential for myoblast fusion and consequently muscle formation in adults (PubMed:25797154). During embryonic and pupal development, binds to the enhancer of the myoblast fusion gene sing and activates its transcription (PubMed:25797154).</ul>
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up	Q9V5M6	Longitudinals lacking protein, isoforms J/P/Q/S/Z	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up	P42283	Longitudinals lacking protein, isoform G	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up	P42284	Longitudinals lacking protein, isoforms H/M/V	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up	Q7KQZ4	Longitudinals lacking protein, isoforms A/B/D/L	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up	Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up	Q9V5M3	Longitudinals lacking protein, isoforms N/O/W/X/Y	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	chr2R	10540344	10540855	FBgn0283521	chr2R	10482943	10533749	6594	Toll9 Up	Time Up	Q9V5M6	Longitudinals lacking protein, isoforms J/P/Q/S/Z	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	chr2R	10540344	10540855	FBgn0283521	chr2R	10482943	10533749	6594	Toll9 Up	Time Up	P42283	Longitudinals lacking protein, isoform G	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	chr2R	10540344	10540855	FBgn0283521	chr2R	10482943	10533749	6594	Toll9 Up	Time Up	P42284	Longitudinals lacking protein, isoforms H/M/V	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	chr2R	10540344	10540855	FBgn0283521	chr2R	10482943	10533749	6594	Toll9 Up	Time Up	Q7KQZ4	Longitudinals lacking protein, isoforms A/B/D/L	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	chr2R	10540344	10540855	FBgn0283521	chr2R	10482943	10533749	6594	Toll9 Up	Time Up	Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	chr2R	10540344	10540855	FBgn0283521	chr2R	10482943	10533749	6594	Toll9 Up	Time Up	Q9V5M3	Longitudinals lacking protein, isoforms N/O/W/X/Y	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2110	chr2R	10541446	10542669	FBgn0283521	chr2R	10482943	10533749	7696	Toll9 Up	Toll10b Up	Q9V5M6	Longitudinals lacking protein, isoforms J/P/Q/S/Z	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2110	chr2R	10541446	10542669	FBgn0283521	chr2R	10482943	10533749	7696	Toll9 Up	Toll10b Up	P42283	Longitudinals lacking protein, isoform G	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2110	chr2R	10541446	10542669	FBgn0283521	chr2R	10482943	10533749	7696	Toll9 Up	Toll10b Up	P42284	Longitudinals lacking protein, isoforms H/M/V	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2110	chr2R	10541446	10542669	FBgn0283521	chr2R	10482943	10533749	7696	Toll9 Up	Toll10b Up	Q7KQZ4	Longitudinals lacking protein, isoforms A/B/D/L	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2110	chr2R	10541446	10542669	FBgn0283521	chr2R	10482943	10533749	7696	Toll9 Up	Toll10b Up	Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2110	chr2R	10541446	10542669	FBgn0283521	chr2R	10482943	10533749	7696	Toll9 Up	Toll10b Up	Q9V5M3	Longitudinals lacking protein, isoforms N/O/W/X/Y	1000	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2227	chr2R	11679176	11679615	FBgn0050035	chr2R	11668579	11674428	4747	Gd7 Down	Toll9 Down	A1Z8N1	Facilitated trehalose transporter Tret1-1	1000	Tret1-1	<ul><li>Low-capacity facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph.</ul>
Region2307	chr2R	12775674	12777789	FBgn0003326	chr2R	12780863	12800933	3073	Toll9 Up	Toll9 Up	P21520	Protein scabrous	1000	sca	<ul><li>Involved in regulation of neurogenesis. May encode a lateral inhibitor of R8 differentiation. In conjunction with Gp150, promotes Notch activation in response to Delta by regulating acquisition of insensitivity to Delta in a subset of cells.</ul>
Region2328	chr2R	12957268	12960410	FBgn0005624	chr2R	12966521	12978163	6110	Gd7 Up	Time Up	P35820	Polycomb group protein Psc	1000	Psc	<ul><li>Polycomb group (PcG) protein. PcG proteins act by forming multiprotein complexes, which are required to maintain the transcriptionally repressive state of homeotic genes throughout development. PcG proteins are not required to initiate repression, but to maintain it during later stages of development. Component of the PcG multiprotein PRC1 complex, a complex that acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-118', rendering chromatin heritably changed in its expressibility. Needed to maintain expression patterns of the homeotic selector genes of the Antennapedia (Antp-C) and Bithorax (BX-C) complexes, and hence for the maintenance of segmental determination.</ul>
Region2333	chr2R	12980155	12981536	FBgn0005624	chr2R	12966521	12978163	1991	Gd7 Up	Gd7 Down	P35820	Polycomb group protein Psc	1000	Psc	<ul><li>Polycomb group (PcG) protein. PcG proteins act by forming multiprotein complexes, which are required to maintain the transcriptionally repressive state of homeotic genes throughout development. PcG proteins are not required to initiate repression, but to maintain it during later stages of development. Component of the PcG multiprotein PRC1 complex, a complex that acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-118', rendering chromatin heritably changed in its expressibility. Needed to maintain expression patterns of the homeotic selector genes of the Antennapedia (Antp-C) and Bithorax (BX-C) complexes, and hence for the maintenance of segmental determination.</ul>
Region2334	chr2R	12984481	12986130	FBgn0005624	chr2R	12966521	12978163	6317	Gd7 Up	Time Up	P35820	Polycomb group protein Psc	1000	Psc	<ul><li>Polycomb group (PcG) protein. PcG proteins act by forming multiprotein complexes, which are required to maintain the transcriptionally repressive state of homeotic genes throughout development. PcG proteins are not required to initiate repression, but to maintain it during later stages of development. Component of the PcG multiprotein PRC1 complex, a complex that acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-118', rendering chromatin heritably changed in its expressibility. Needed to maintain expression patterns of the homeotic selector genes of the Antennapedia (Antp-C) and Bithorax (BX-C) complexes, and hence for the maintenance of segmental determination.</ul>
Region2350	chr2R	13191276	13192300	FBgn0053182	chr2R	13180085	13187825	3450	Toll9 Up	Time Up	Q9V6L0	Probable lysine-specific demethylase 4B	1000	Kdm4B	<ul><li>Probable histone demethylase that specifically demethylates 'Lys-9' and 'Lys-36' residues of histone H3, thereby playing a central role in histone code. Demethylation of Lys residue generates formaldehyde and succinate (By similarity).</ul>
Region2456	chr2R	14311361	14313123	FBgn0085408	chr2R	14315324	14351497	2200	Toll9 Up	Time Down	A1Z9P3	Protein Shroom	1000	Shrm	<ul><li>Binds to Rho-kinase Rok and targets it to the apical cell cortex where it mediates apical constriction (PubMed:20549743, PubMed:22493320). During embryogenic axis elongation, required for the localization to adherens junctions and the establishment of planar polarization of both Rho-kinase Rok and myosin regulatory light chain sqh (PubMed:24535826). May be involved in the assembly of microtubule arrays during cell elongation (By similarity).</ul>
Region2502	chr2R	14963922	14964982	FBgn0261854	chr2R	14946050	14961774	2147	Time Up	Toll10b Up	A1Z9X0	Atypical protein kinase C	1000	aPKC	<ul><li>Serine/threonine protein kinase which is required for apico-basal cell polarity in the germ line as well as in epithelial and neural precursor cells, for epithelial planar cell polarity and for cell proliferation. During oocyte development, required for the posterior translocation of oocyte specification factors and for the posterior establishment of the microtubule organizing center within the presumptive oocyte. Phosphorylates l(2)gl which restricts l(2)gl activity to the oocyte posterior and regulates posterior enrichment of par-1, leading to establishment of correct oocyte polarity. Essential for apical localization of l(2)gl and par-6 in neuroblasts and for exclusion of mira from the apical cortex. Phosphorylates baz which is required for targeting of baz to the postsynaptic region where it is involved in actin organization, and for apical exclusion of baz which is necessary for establishment of the apical/lateral border in epithelial cells. Phosphorylates yrt which prevents its premature apical localization and is necessary for correct epithelial cell polarization. Required for the establishment of mitotic spindle orientation during symmetric division of epithelial cells and for apical exclusion of raps/Pins. Involved in symmetric adherens junction positioning during embryogenesis. Required for polarization of the spermatid cyst which is necessary for sperm differentiation. Required for stimulation of the Toll signaling pathway which activates Dif and dl and plays a role in innate immunity. Plays a role in memory enhancement.</ul>
Region2516	chr2R	15127789	15129058	FBgn0015371	chr2R	15138215	15143448	9156	Toll10b Down	Time Down	Q7YU81	Protein charlatan	1000	chn	<ul><li>Probable transcription factor involved in the development of the adult pattern of macrochaetae. Required for accumulation of achaete (ac) and scute (sc) in proneural clusters. Probably acts by binding to the proneural cluster-specific enhancers of the ac/sc complex and increasing enhancer efficiency, thereby acting as a stimulator of ac/sc expression in proneural clusters. Also required for correct development of the embryonic/larval peripheral nervous system (PNS).</ul>
Region2517	chr2R	15129270	15130170	FBgn0015371	chr2R	15138215	15143448	8044	Toll10b Down	Toll9 Down	Q7YU81	Protein charlatan	1000	chn	<ul><li>Probable transcription factor involved in the development of the adult pattern of macrochaetae. Required for accumulation of achaete (ac) and scute (sc) in proneural clusters. Probably acts by binding to the proneural cluster-specific enhancers of the ac/sc complex and increasing enhancer efficiency, thereby acting as a stimulator of ac/sc expression in proneural clusters. Also required for correct development of the embryonic/larval peripheral nervous system (PNS).</ul>
Region2518	chr2R	15130491	15133078	FBgn0015371	chr2R	15138215	15143448	5136	Toll10b Down	Time Up	Q7YU81	Protein charlatan	1000	chn	<ul><li>Probable transcription factor involved in the development of the adult pattern of macrochaetae. Required for accumulation of achaete (ac) and scute (sc) in proneural clusters. Probably acts by binding to the proneural cluster-specific enhancers of the ac/sc complex and increasing enhancer efficiency, thereby acting as a stimulator of ac/sc expression in proneural clusters. Also required for correct development of the embryonic/larval peripheral nervous system (PNS).</ul>
Region2532	chr2R	15349279	15351088	FBgn0034013	chr2R	15357028	15367152	5939	Time Up	Time Up	Q95TU8	Netrin receptor unc-5	1000	unc-5	<ul><li>Receptor for netrin required for motor axon guidance. Mediates both short- and long-range axon motor repulsion in the developing nervous system upon ligand binding. Also involved in glial migration. While short-range repulsion requires both fra and unc-5, long-range repulsion only requires unc-5.</ul>
Region2533	chr2R	15352178	15352926	FBgn0034013	chr2R	15357028	15367152	4101	Time Up	Time Up	Q95TU8	Netrin receptor unc-5	1000	unc-5	<ul><li>Receptor for netrin required for motor axon guidance. Mediates both short- and long-range axon motor repulsion in the developing nervous system upon ligand binding. Also involved in glial migration. While short-range repulsion requires both fra and unc-5, long-range repulsion only requires unc-5.</ul>
Region2534	chr2R	15353245	15353624	FBgn0034013	chr2R	15357028	15367152	3403	Time Up	Toll10b Up	Q95TU8	Netrin receptor unc-5	1000	unc-5	<ul><li>Receptor for netrin required for motor axon guidance. Mediates both short- and long-range axon motor repulsion in the developing nervous system upon ligand binding. Also involved in glial migration. While short-range repulsion requires both fra and unc-5, long-range repulsion only requires unc-5.</ul>
Region2578	chr2R	15892106	15892309	FBgn0264089	chr2R	15871423	15890603	1502	Toll10b Down	Toll9 Down	P24014	Protein slit	1000	sli	<ul><li>A short-range repellent, controlling axon crossing of the midline and a long-range chemorepellent, controlling mesoderm migration and patterning away from the midline. May interact with extracellular matrix molecules. Repulsive ligand for the guidance receptor roundabout (robo) and prevents inappropriate midline crossing by Robo-expressing axons.</ul>
Region2607	chr2R	16154053	16155042	FBgn0029175	chr2R	16146385	16148657	5395	Time Up	Time Up	Q9Y169	Exostosin-2	1000	sotv	<ul><li>Glycosyltransferase required for the biosynthesis of heparan-sulfate and responsible for the alternating addition of beta-1-4-linked glucuronic acid (GlcA) and alpha-1-4-linked N-acetylglucosamine (GlcNAc) units to nascent heparan sulfate chains. Plays a central role in diffusion of morphogens hedgehog (hh), wingless (wg) and Decapentaplegic (dpp) via its role in heparan sulfate proteoglycans (HSPGs) biosynthesis, HSPGs being required for movement of Hh, Dpp and wg morphogens.</ul>
Region2608	chr2R	16155499	16156304	FBgn0029175	chr2R	16146385	16148657	6841	Time Up	Gd7 Down	Q9Y169	Exostosin-2	1000	sotv	<ul><li>Glycosyltransferase required for the biosynthesis of heparan-sulfate and responsible for the alternating addition of beta-1-4-linked glucuronic acid (GlcA) and alpha-1-4-linked N-acetylglucosamine (GlcNAc) units to nascent heparan sulfate chains. Plays a central role in diffusion of morphogens hedgehog (hh), wingless (wg) and Decapentaplegic (dpp) via its role in heparan sulfate proteoglycans (HSPGs) biosynthesis, HSPGs being required for movement of Hh, Dpp and wg morphogens.</ul>
Region2610	chr2R	16178569	16178993	FBgn0015754	chr2R	16182053	16183673	3059	Time Up	Gd7 Down	Q7KNS3	Lissencephaly-1 homolog	1000	Lis-1	<ul><li>Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein-mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for several dynein- and microtubule-dependent processes such as nuclear migration during cell division, mitotic spindle formation and the removal of mitotic checkpoint proteins from kinetochores at the metaphase to anaphase transition. Required for several aspects of neurogenesis including neuroblast proliferation, neuronal cell differentiation, dendritic growth, branching and maturation and axonal transport. Required for synchronized cell divisions in the germline, fusome integrity and oocyte differentiation. Acts together with BicD, Egl, dynein and microtubules to determine oocyte identity during oogenesis. Also required for nurse cell to oocyte transport during oocyte growth and for the positioning of the nucleus in the oocyte.</ul>
Region2625	chr2R	16335876	16336972	FBgn0262511	chr2R	16325969	16333412	2463	Toll9 Down	Toll10b Up	Q9V7N5	V-type proton ATPase subunit C	1000	Vha44	<ul><li>Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. In enterocytes, acts as part of a pHCl-2 sensory pathway which mediates Tor-dependent larval growth and metabolism in response to zinc availability (PubMed:32269334). Likely acts in maintaining enterocyte lysosomal acidification which consequently promotes Tor activation at the lysosome membrane (PubMed:32269334).</ul>
Region2631	chr2R	16499703	16500302	FBgn0011260	chr2R	16503548	16532397	3245	Toll9 Up	Toll9 Up	Q24323	Semaphorin-2A	1000	Sema2a	<ul><li>Plays a role in growth cones guidance. Required for both proper adult behavior and survival. Can function in vivo as a selective target-derived signal that inhibits the formation of specific synaptic terminal arbors.</ul>
Region2651	chr2R	16784686	16785241	FBgn0034157	chr2R	16780548	16782873	1812	Time Down	Gd7 Down	Q9V7U0	Pro-resilin	1000	resilin	<ul><li>Plays a central role in insect flight by providing low stiffness, high strain and efficient energy storage.</ul>
Region2709	chr2R	17716108	17717739	FBgn0034264	chr2R	17723440	17724850	5700	Toll9 Up	Toll10b Up	A1ZAY1	SH3 domain-containing protein Dlish	1000	Dlish	<ul><li>Required for the apical cell cortex localization, total cellular level and full activity of dachs.</ul>
Region2723	chr2R	17803894	17804883	FBgn0259211	chr2R	17808411	17840871	3527	Toll10b Down	Toll10b Down	P13002	Protein grainyhead	1000	grh	<ul><li>Binds a CNS-specific regulatory element of the Dopa decarboxylase (Ddc) gene. Also interacts with sequences adjacent to other transcription units, including Ultrabithorax (Ubx) and engrailed (en). Activity in vivo may be required only at high levels transiently to activate the expression of Ddc in the CNS.</ul>
Region2760	chr2R	18299711	18300364	FBgn0034327	chr2R	18303596	18303952	3231	Toll9 Up	Time Down	Q9V8F3	Protein GSKIP homolog	1000		<ul><li></ul>
Region2762	chr2R	18305594	18305892	FBgn0034327	chr2R	18303596	18303952	1641	Toll9 Up	Time Down	Q9V8F3	Protein GSKIP homolog	1000		<ul><li></ul>
Region2763	chr2R	18306743	18307589	FBgn0034327	chr2R	18303596	18303952	2790	Toll9 Up	Toll9 Up	Q9V8F3	Protein GSKIP homolog	1000		<ul><li></ul>
Region2780	chr2R	18487962	18488456	FBgn0034351	chr2R	18451376	18452713	35248	Toll10b Up	Gd7 Up	Q7JUX9	Mitochondrial ribonuclease P protein 1 homolog	1000	trmt10c	<ul><li>May function in mitochondrial tRNA maturation.</ul>
Region2973	chr2R	21047750	21048668	FBgn0003391	chr2R	21050809	21056473	2140	Toll9 Up	Toll10b Down	Q24298	DE-cadherin	1000	shg	<ul><li>Cadherins are calcium-dependent cell adhesion proteins (PubMed:7958432). In connecting cells they preferentially interact with themselves in a homophilic manner; cadherins may thus contribute to the sorting of heterogeneous cell types (PubMed:7958432). During oogenesis, integral component of the guidance mechanisms that regulate the directional persistent collective migration of the border cell (BC) cluster through the nurse cells to the oocyte (PubMed:24855950, PubMed:30763317). Functions downstream of the two chemoattractant receptors, Pvr and Egfr, to promote BC adhesion between the leader cells of the migrating cluster and the surrounding nurse cells (PubMed:24855950). This adhesion increases Rac1 signaling in the leading cells, which in turn stabilizes DE-cadherin/DE-cadherin adhesions through the formation of forward-directed protrusions which attach/detach to the surrounding nurse cells in order to pull the cluster through the egg chamber to the oocyte (PubMed:24855950). Within the BC cluster, also promotes adhesion between BCs, and between BCs and polar cells which enables the lead BC to communicate direction to the other cells in the cluster, providing polarity to each individual cell and ensuring collective behavior (PubMed:24855950, PubMed:30763317). May function in cell intercalation in the lateral epidermis during germband extension (PubMed:24681004). Contributes to the determination of body left-right asymmetry by enhancing Myo31DF activity and inhibiting Myo61F activity (PubMed:22491943).</ul>
Region3036	chr2R	21702609	21703894	FBgn0010228	chr2R	21698125	21698540	4068	Toll9 Up	Time Up	Q06943	High mobility group protein Z	1000	HmgZ	<ul><li></ul>
Region3037	chr2R	21704316	21705028	FBgn0010228	chr2R	21698125	21698540	5775	Toll9 Up	Toll10b Up	Q06943	High mobility group protein Z	1000	HmgZ	<ul><li></ul>
Region3038	chr2R	21705824	21706360	FBgn0010228	chr2R	21698125	21698540	7283	Toll9 Up	Gd7 Down	Q06943	High mobility group protein Z	1000	HmgZ	<ul><li></ul>
Region3039	chr2R	21707458	21708092	FBgn0004362	chr2R	21715468	21715877	7375	Time Down	Time Down	Q05783	High mobility group protein D	1000	HmgD	<ul><li>Binds preferentially single-stranded DNA and unwinds double-stranded DNA. Prefers sites containing the sequence 5'-ttg-3'. Facilitates DNA bending. Associated with early embryonic chromatin in the absence of histone H1.</ul>
Region3238	chr2R	24580311	24581458	FBgn0035028	chr2R	24574990	24577461	2849	Toll10b Down	Toll10b Down	Q9W145	Steroidogenic acute regulatory protein-like	1000	Start1	<ul><li>May bind to and transport cholesterol and may play a role in ecdysteroid biosynthesis.</ul>
Region3305	chr3L	40052	40733	FBgn0052475	chr3L	24193	26075	13976	Toll10b Down	Toll10b Down	Q9W0V7	Probable G-protein coupled receptor Mth-like 8	1000	mthl8	<ul><li></ul>
